  0.000000000000E+00  0.150000000000E+04  0.100000000000E+01  0.101325000000E+06  0.171688589804E-01
  0.100000001490E+00  0.149999989193E+04  0.100000000000E+01  0.101324992698E+06  0.171688579290E-01
  0.200000002980E+00  0.149999978282E+04  0.100000000000E+01  0.101324985324E+06  0.171688568079E-01
  0.300000011921E+00  0.149999967352E+04  0.100000000000E+01  0.101324977934E+06  0.171688555676E-01
  0.400000005960E+00  0.149999956457E+04  0.100000000000E+01  0.101324970565E+06  0.171688541699E-01
  0.500000000000E+00  0.149999945633E+04  0.100000000000E+01  0.101324963242E+06  0.171688525828E-01
  0.600000023842E+00  0.149999934909E+04  0.100000000000E+01  0.101324955982E+06  0.171688507764E-01
  0.699999988079E+00  0.149999924308E+04  0.100000000000E+01  0.101324948803E+06  0.171688487213E-01
  0.800000011921E+00  0.149999913852E+04  0.100000000000E+01  0.101324941716E+06  0.171688463868E-01
  0.900000035763E+00  0.149999903561E+04  0.100000000000E+01  0.101324934737E+06  0.171688437404E-01
  0.100000000000E+01  0.149999893456E+04  0.100000000000E+01  0.101324927879E+06  0.171688407465E-01
  0.110000002384E+01  0.149999883561E+04  0.100000000000E+01  0.101324921158E+06  0.171688373665E-01
  0.120000004768E+01  0.149999873900E+04  0.100000000000E+01  0.101324914588E+06  0.171688335574E-01
  0.130000007153E+01  0.149999864500E+04  0.100000000000E+01  0.101324908187E+06  0.171688292722E-01
  0.139999997616E+01  0.149999855390E+04  0.100000000000E+01  0.101324901976E+06  0.171688244586E-01
  0.150000000000E+01  0.149999846604E+04  0.100000000000E+01  0.101324895974E+06  0.171688190585E-01
  0.160000002384E+01  0.149999838176E+04  0.100000000000E+01  0.101324890206E+06  0.171688130079E-01
  0.170000004768E+01  0.149999830149E+04  0.100000000000E+01  0.101324884698E+06  0.171688062356E-01
  0.180000007153E+01  0.149999822566E+04  0.100000000000E+01  0.101324879478E+06  0.171687986626E-01
  0.189999997616E+01  0.149999815475E+04  0.100000000000E+01  0.101324874578E+06  0.171687902015E-01
  0.200000000000E+01  0.149999808933E+04  0.100000000000E+01  0.101324870035E+06  0.171687807552E-01
  0.210000014305E+01  0.149999803000E+04  0.100000000000E+01  0.101324865886E+06  0.171687702160E-01
  0.220000004768E+01  0.149999797742E+04  0.100000000000E+01  0.101324862177E+06  0.171687584646E-01
